Unnamed: 0,Empresa,Retorno anual,Nombre,Sector,Industria
200,GILD,0.3088355024816458,Gilead Sciences,Health Care,Biotechnology
201,GIS,0.1157450603520366,General Mills,Consumer Staples,Packaged Foods & Meats
202,GL,0.1426363071447949,Globe Life,Financials,Life & Health Insurance
203,GLW,0.175847745505133,Corning Inc.,Information Technology,Electronic Components
204,GM,0.0835929883949644,General Motors,Consumer Discretionary,Automobile Manufacturers
205,GNRC,0.3327327751886835,Generac,Industrials,Electrical Components & Equipment
206,GOOG,0.2827887240055149,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services
207,GOOGL,0.2819724686793001,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services
208,GPC,0.1346406148670775,Genuine Parts Company,Consumer Discretionary,Specialty Stores
209,GPN,0.2283283432605443,Global Payments,Financials,Transaction & Payment Processing Services
210,GRMN,0.221573207820549,Garmin,Consumer Discretionary,Consumer Electronics
211,GS,0.1535553908990019,Goldman Sachs,Financials,Investment Banking & Brokerage
212,GWW,0.1917272722358742,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components
213,HAL,0.1678131272657634,Halliburton,Energy,Oil & Gas Equipment & Services
214,HAS,0.1139028025638466,Hasbro,Consumer Discretionary,Leisure Products
215,HBAN,0.1354169319806042,Huntington Bancshares,Financials,Regional Banks
216,HCA,0.2945581983120193,HCA Healthcare,Health Care,Health Care Facilities
217,HD,0.1612390948574449,Home Depot (The),Consumer Discretionary,Home Improvement Retail
218,HES,0.1993361278882777,Hess Corporation,Energy,Integrated Oil & Gas
219,HIG,0.1818999701802088,Hartford (The),Financials,Property & Casualty Insurance
220,HII,0.2096228804095472,Huntington Ingalls Industries,Industrials,Aerospace & Defense
221,HLT,0.1824005986622727,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
222,HOLX,0.2661860827633207,Hologic,Health Care,Health Care Equipment
223,HON,0.1414725043442068,Honeywell,Industrials,Industrial Conglomerates
224,HPE,0.1531923720122148,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals"
225,HPQ,0.1370457686050792,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
226,HRL,0.1484741386899397,Hormel Foods,Consumer Staples,Packaged Foods & Meats
